id_setting,n_data,alpha,n_seed,method,minVar,minCVar,beta_var,p1,p2,rho,a,b,NoExcVaR
UI,10000,0.9,0,KNN,1114,2004.0,4069,0.2003292894365365,0.061054020175875835,0.13060254068136912,1.3335557972867906,5.323263088340396,2087
UI,10000,0.9,0,MLP,1051,1947.0,4810,0.1946411680541528,0.07405186620790138,0.23071962575596638,0.648985235276083,2.6852797702406406,2051
UI,10000,0.9,0,LogisticRegression,1088,1979.0,4815,0.19799878881248026,0.07486580259438014,0.2245802571651824,0.6836405472162808,2.7691106100881835,2053
UI,10000,0.9,0,RandomForest,1116,2005.0,4251,0.20047754927120984,0.06440768805434975,0.1510824073206243,1.1264641696664455,4.492440160324923,2062
UI,10000,0.9,0,AdaBoostClassifier,1092,1984.0,4834,0.19836063975150842,0.07532621561165201,0.22626524026002245,0.6783124167172051,2.7412793811692344,2077
2S,500,0.9,0,real,69,112.0,239,0.22585570661514795,0.08073804864334386,0.1700206717141697,1.102545742095988,3.7790920018199405,127
2S,500,0.9,0,KNN,87,129.0,216,0.25667389617616215,0.08153929484198354,0.08206723786183748,2.8709310149128173,8.314199447057018,139
2S,500,0.9,0,MLP,80,123.0,223,0.24489050440167645,0.08016456466779832,0.109200188512991,1.9976926608422705,6.15980068799966,138
2S,500,0.9,0,LogisticRegression,81,124.0,222,0.2464628011113202,0.08028989527235371,0.10524499187534195,2.095337950826042,6.406301815410586,137
2S,500,0.9,0,RandomForest,82,125.0,222,0.2491914443872234,0.0810574517855131,0.10134460511807084,2.2096611417657472,6.657662321924865,140
2S,500,0.9,0,AdaBoostClassifier,86,128.0,241,0.2556167167389783,0.09057348855352648,0.1326151230028159,1.6718913302402816,4.868726793522017,139
2S,1000,0.9,0,real,164,247.0,496,0.24797505922541643,0.09092673460154034,0.15784300366855428,1.3230483847159138,4.012360703797406,250
2S,1000,0.9,0,KNN,175,258.0,451,0.2578560596538263,0.08551209683395417,0.09940281086927258,2.3361959334325864,6.723881757077876,267
2S,1000,0.9,0,MLP,180,263.0,499,0.26256542145556755,0.09620293139322907,0.14079977308653194,1.6022488157600012,4.5000353575633865,273
2S,1000,0.9,0,LogisticRegression,178,261.0,492,0.2604333392605952,0.09409727995671283,0.13640025847243287,1.6488983744564105,4.682466032027501,264
2S,1000,0.9,0,RandomForest,173,257.0,496,0.2563357919781739,0.09370251857024843,0.14685416878464524,1.4891767399409919,4.320299683342934,272
2S,1000,0.9,0,AdaBoostClassifier,187,269.0,556,0.26876138061873744,0.11052049188505951,0.1948204613405006,1.110772262062477,3.022158812627023,267
2S,5000,0.9,0,real,669,1103.0,2323,0.22055471141945907,0.07688419832160744,0.16427062573029452,1.1220755395076958,3.9654400802467227,1195
2S,5000,0.9,0,KNN,625,1064.0,1885,0.21263283453567772,0.05922037046171275,0.08366765470242088,2.32876545499125,8.623284636010828,1139
2S,5000,0.9,0,MLP,603,1042.0,2175,0.20858659681159833,0.06816105377357376,0.1493394109990416,1.1881418048441066,4.508014242044397,1134
2S,5000,0.9,0,LogisticRegression,580,1023.0,2117,0.2044826592611228,0.06501010990314111,0.14260172792085968,1.2294597089383876,4.783078039236547,1110
2S,5000,0.9,0,RandomForest,622,1061.0,2088,0.21202965383583935,0.06582790165634524,0.12492334243937148,1.4852484510870754,5.519660643346783,1127
2S,5000,0.9,0,AdaBoostClassifier,599,1040.0,2212,0.2079225964008295,0.06939505242463595,0.1588628379399959,1.1008957471894287,4.193842613066417,1110
2S,10000,0.9,0,real,1511,2361.0,4796,0.2360184404877356,0.08413807665413582,0.15768833255406162,1.260721595157282,4.080901680345119,2382
2S,10000,0.9,0,KNN,1530,2378.0,4058,0.23775794883944895,0.07130069348506876,0.08150926484973335,2.6791859013696033,8.589358071435855,2396
2S,10000,0.9,0,MLP,1427,2285.0,4650,0.22848352649821516,0.07912656516569626,0.15272308740182922,1.2675805616841622,4.280217921258389,2298
2S,10000,0.9,0,LogisticRegression,1521,2370.0,4768,0.23697512298599854,0.08387434175766667,0.15328753782904905,1.308976533242693,4.214711003021543,2402
2S,10000,0.9,0,RandomForest,1544,2391.0,4289,0.2390370604451563,0.0755700971992741,0.10132792036235973,2.1200073134082134,6.748940913535462,2406
2S,10000,0.9,0,AdaBoostClassifier,1521,2370.0,4793,0.23694357857577028,0.08434750879491927,0.15600134722254588,1.2819123979545675,4.128288653536585,2402
NC,500,0.9,0,real,51,95.0,179,0.19181433101994533,0.05060531550189719,0.08910099303701971,1.9609600038322534,8.262259467857806,113
NC,500,0.9,0,KNN,70,114.0,171,0.22742403428088143,0.05872756883580777,0.03987355746672073,5.476206359622003,18.603070823875356,126
NC,500,0.9,0,MLP,62,107.0,182,0.21328224306197882,0.057150259357388516,0.06949604074976305,2.8557018423751583,10.533607091075263,123
NC,500,0.9,0,LogisticRegression,64,108.0,175,0.21531670005809878,0.05577599885356478,0.05572308719182093,3.648731594985142,13.297151348607056,120
